game_id,week,day,date,winner,loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,atHome,TODiff,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
201412280tb,17,Sun,2014-12-28,NO,TB,23,20,338,3,280,1,FALSE,-2,FALSE,NO,-6,46.5,Raymond James Stadium,FALSE,77,7,NA,NA
201412280hou,17,Sun,2014-12-28,HOU,JAX,23,17,358,2,233,0,TRUE,-2,FALSE,HOU,-8.5,38.5,Reliant Stadium,FALSE,43,8,NA,retractable (open roof)
201412280bal,17,Sun,2014-12-28,BAL,CLE,20,10,419,0,259,2,TRUE,2,FALSE,BAL,-14,40,M&T Bank Stadium,FALSE,56,3,NA,NA
201412280pit,17,Sun,2014-12-28,PIT,CIN,27,17,346,3,337,3,TRUE,0,FALSE,PIT,-3,48.5,Heinz Field,FALSE,35,1,NA,NA
201412280ten,17,Sun,2014-12-28,IND,TEN,27,10,378,0,192,1,FALSE,1,FALSE,IND,-7.5,46.5,Nissan Stadium,FALSE,41,5,NA,NA
201501040dal,Wild Card,Sun,2015-01-04,DAL,DET,24,20,315,1,397,3,TRUE,2,TRUE,DAL,-6,48.5,Cowboys Stadium,FALSE,72,0,NA,indoor
201501100sea,Division,Sat,2015-01-10,SEA,CAR,31,17,348,0,362,3,TRUE,3,TRUE,SEA,-13.5,39.5,CenturyLink Field,FALSE,48,0,NA,NA
201502010sea,Super Bowl,Sun,2015-02-01,NE,SEA,28,24,377,2,396,1,FALSE,-1,TRUE,NE,-1,47.5,University of Phoenix Stadium,TRUE,72,0,NA,indoor
201509100ne,1,Thu,2015-09-10,NE,PIT,28,21,361,0,464,1,TRUE,1,FALSE,NE,-7,51,Gillette Stadium,FALSE,64,9,NA,rain
201509130was,1,Sun,2015-09-13,MIA,WAS,17,10,256,1,349,2,FALSE,1,FALSE,MIA,-4,45.5,FedEx Field,FALSE,71,11,NA,NA
201509130hou,1,Sun,2015-09-13,KC,HOU,27,20,330,0,396,2,FALSE,2,FALSE,KC,-1,40.5,Reliant Stadium,FALSE,83,8,NA,retractable (open roof)
201509130buf,1,Sun,2015-09-13,BUF,IND,27,14,342,0,304,3,TRUE,3,FALSE,IND,-1,44.5,Ralph Wilson Stadium,FALSE,53,7,NA,NA
201509130lar,1,Sun,2015-09-13,LAR,SEA,34,31,352,3,343,1,TRUE,-2,FALSE,SEA,-3.5,41,Edward Jones Dome,FALSE,72,0,NA,indoor
201509170kc,2,Thu,2015-09-17,DEN,KC,31,24,299,1,314,5,FALSE,4,FALSE,KC,-3,42,Arrowhead Stadium,FALSE,80,8,NA,NA
201509200jax,2,Sun,2015-09-20,JAX,MIA,23,20,396,0,386,0,TRUE,0,FALSE,MIA,-6,42,EverBank Field,FALSE,83,5,NA,NA
201509200was,2,Sun,2015-09-20,WAS,LAR,24,10,373,1,213,0,TRUE,-1,FALSE,LAR,-3,41,FedEx Field,FALSE,75,6,NA,NA
201509200phi,2,Sun,2015-09-20,DAL,PHI,20,10,359,2,226,3,FALSE,1,FALSE,PHI,-6.5,54,Lincoln Financial Field,FALSE,74,7,NA,NA
201509200nyg,2,Sun,2015-09-20,ATL,NYG,24,20,402,0,388,1,FALSE,1,FALSE,NYG,-2,50,MetLife Stadium,FALSE,77,7,NA,NA
201509200gb,2,Sun,2015-09-20,GB,SEA,27,17,361,1,324,2,TRUE,1,FALSE,GB,-3,49.5,Lambeau Field,FALSE,54,6,NA,NA
201509210ind,2,Mon,2015-09-21,NYJ,IND,20,7,344,1,343,5,FALSE,4,FALSE,IND,-6,46,Lucas Oil Stadium,FALSE,72,0,NA,indoor
201509270cle,3,Sun,2015-09-27,LVR,CLE,27,20,469,1,355,2,FALSE,1,FALSE,CLE,-3.5,44,FirstEnergy Stadium,FALSE,75,10,NA,NA
201509270min,3,Sun,2015-09-27,MIN,LAC,31,14,284,1,369,2,TRUE,1,FALSE,MIN,-2,45.5,TCF Bank Stadium,FALSE,80,13,NA,NA
201509270bal,3,Sun,2015-09-27,CIN,BAL,28,24,458,2,398,1,FALSE,-1,FALSE,BAL,-1.5,45.5,M&T Bank Stadium,FALSE,73,8,NA,NA
